Flex1,Flex2,Flex3,Flex4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z
0,298,289,277,-2804,-1840,14364,35,65,-302
0,299,289,277,-2740,-1920,14252,27,186,-285
0,299,288,277,-2868,-1872,14368,9,69,-305
0,299,288,277,-2764,-1844,14396,46,210,-289
0,298,289,277,-2828,-1916,14240,-33,160,-287
0,299,289,277,-2748,-2092,14244,4,220,-290
0,299,289,277,-2844,-1920,14488,13,139,-299
0,299,289,277,-2900,-1992,14364,-37,121,-284
0,299,288,277,-2916,-1952,14528,12,10,-278
0,298,289,277,-2788,-1972,14268,-14,144,-263
0,298,289,277,-2716,-1932,14348,2,212,-283
0,299,289,277,-2752,-1816,14360,18,116,-276
0,298,289,277,-2780,-1840,14340,8,136,-284
0,298,289,277,-2796,-1880,14248,87,166,-285
0,298,289,277,-2684,-1920,14308,-26,147,-297
0,299,289,277,-2784,-1916,14460,26,154,-270
0,299,289,277,-2796,-2028,14264,26,125,-283
0,299,288,277,-2868,-1984,14152,-2,159,-282
0,299,289,277,-2844,-1928,14404,53,164,-274
0,298,289,277,-2716,-1980,14280,1,142,-303
0,298,289,277,-2900,-1932,14336,59,80,-265
0,299,289,277,-2852,-1936,14460,-45,27,-286
0,299,289,277,-2796,-1892,14368,42,141,-285
0,298,289,277,-2836,-1900,14332,-6,166,-282
0,299,289,277,-2824,-1892,14184,0,106,-294
0,298,289,277,-2828,-1884,14164,-13,167,-294
0,298,289,277,-2888,-1856,14316,3,148,-289
0,299,288,277,-2844,-1928,14420,27,133,-300
0,299,288,276,-2936,-3448,14136,-120,-297,-240
86,298,289,277,-2984,-220,15424,3858,-1323,1692
305,299,289,278,-2736,556,13868,-3237,995,34
0,299,289,277,-4648,-1340,13992,-1565,2312,-678
306,298,289,278,-4076,-1524,14176,1604,628,-73
306,298,288,278,-5368,-1048,13652,-3452,-1198,-1830
300,299,289,278,-5684,-1772,12860,1517,2050,812
304,299,289,278,-4932,-1656,13440,2143,361,57
304,298,289,278,-5164,-1364,13784,271,-780,-90
303,299,289,277,-4996,-1260,14000,-627,-98,-399
304,299,289,278,-4568,636,14500,7888,-4811,2340
303,299,289,277,-3776,1856,11776,-709,88,-4087
301,299,288,278,-3796,1116,15908,1396,1026,199
275,298,289,277,-4324,-312,14984,-1849,3245,-243
0,298,289,277,-4912,580,13892,561,-1358,-282
305,298,289,277,-4448,1568,13804,-664,-352,-5
289,299,289,278,-4452,1644,13420,1197,411,180
304,299,290,278,-4408,2004,12864,-992,-991,-375
304,298,289,278,-4988,2692,13792,47,982,-28
305,299,289,278,-4900,2440,13396,-533,1438,-936
305,300,289,278,-5784,2252,12768,302,-14,82
304,298,289,277,-5512,2628,13340,-221,623,-105
282,299,289,278,-4740,1888,13236,-1428,-211,34
305,299,289,277,-5304,1936,13492,-741,2038,-478
305,299,289,277,-5100,1672,13628,-401,-8,-638
304,299,289,278,-4980,1492,13448,175,631,-173
304,299,289,278,-5200,1580,13448,-150,-9,-493
304,300,289,278,-4668,1300,13404,470,-96,-98
304,299,289,277,-4792,1692,13348,433,-698,-217
304,299,288,278,-4316,1792,14340,93,-332,-341
0,299,288,276,-4516,1452,13584,-22,30,-197
0,299,289,277,-4888,1248,13664,-2103,2835,-1925
299,299,289,277,-5300,1436,12744,758,-3496,-286
306,299,289,278,-4132,352,12628,-1746,-3631,-703
306,299,289,278,-2304,-44,11772,-1582,7806,2141
303,299,288,277,-2356,820,12592,2580,2180,1109
0,297,289,276,-6264,360,24656,-8827,-6954,-2035
0,298,288,276,-2920,-1352,14092,-908,-78,-389
0,298,289,277,-2904,-1516,14308,108,182,-326
0,297,288,277,-3112,-1076,14092,479,-46,-223
0,298,288,277,-2876,-1568,14384,-281,-173,-345
0,297,289,277,-2696,-1716,14464,-1201,-1159,-731
0,297,289,278,-2320,-1968,12328,-2745,-5740,-1773
124,297,288,276,1796,-3332,15824,-1049,-6099,-4397
104,298,288,277,-2780,-6644,12628,-9056,-2251,-1665
115,298,288,276,1188,-7576,11248,350,-3990,483
98,296,288,276,5808,-9304,9212,-12301,-406,-3373
134,297,287,276,7264,-12412,9864,-2997,3746,-367
117,297,288,276,7296,-9596,6664,1819,-3938,-557
0,297,288,276,8412,-11396,12424,7997,-12750,166
215,297,288,276,6340,-11708,14576,-4142,6566,-950
0,295,287,276,1704,-13292,6220,2930,-433,1114
0,294,287,275,4364,-10000,10864,19371,3766,10852
0,296,288,278,4684,-7108,9436,15830,21493,11798
0,297,288,277,2032,-6688,8952,3111,6700,3981
145,297,288,277,4304,-6384,9296,-15470,10390,-17907
162,297,288,277,5792,-12848,7928,5711,7092,6323
171,297,288,277,1748,-9448,16332,-1413,-59,1754
168,298,288,277,5068,-15428,5972,3072,-9180,-41
0,297,288,276,3808,-3184,11016,1561,10170,-4447
158,297,288,277,12844,-9172,16116,-5041,1556,-90
0,297,288,277,8724,-4160,12028,8226,315,6697
0,297,289,277,3540,-3184,13692,5511,4098,5108
181,298,288,276,1976,56,13584,-545,-3135,1351
184,298,288,277,4436,-3860,19812,1981,5174,1979
172,299,289,275,-3372,3088,8872,8863,-3755,-6242
0,298,288,275,-1496,-1096,14372,-3979,1352,-1700
0,298,288,277,-1956,-1820,14220,-852,-1565,-1551
0,299,289,276,-2292,-2752,13568,-2631,1099,-746
0,299,289,277,-1096,-5772,14412,-350,2888,967
0,299,288,277,-3820,-2452,15588,-7930,-1574,-3642
0,300,288,276,-924,-3000,4752,-3589,-9060,1101
0,299,288,277,-1108,-5600,11892,-836,-1172,-501
145,299,289,277,-732,-6216,13664,577,-464,-268
140,300,288,278,-728,-6248,13712,286,-39,-297
139,299,291,277,-648,-6152,13748,-55,105,-271
136,299,289,277,-744,-6404,13768,77,151,-260
130,300,289,277,-580,-6648,14596,42,176,54
137,299,289,277,-1284,-4824,13916,1788,946,289
141,299,288,277,-2128,-4216,13080,365,569,-291
129,300,289,277,-2336,-4880,13692,-1173,-898,-661
0,300,288,277,-1540,-4424,13188,1737,613,247
0,299,288,277,-1852,-4524,13940,459,392,259
0,300,289,276,-1772,-4624,14560,-61,120,-375
0,299,289,276,-1604,-4692,14064,649,24,-397
0,299,288,276,-1676,-4768,14084,-638,345,-440
0,299,288,277,-1412,-4068,13792,32,691,-2476
0,299,289,276,-1220,-5236,14572,-214,-320,-363
0,300,289,277,-1320,-4824,14408,-226,-539,-474
0,299,289,276,-1988,-3352,14028,2144,52,219
0,298,288,277,-2640,-3084,13972,1222,368,193
0,299,289,276,-2260,-3052,13804,438,1355,-471
0,300,288,277,-1832,-3956,13812,-143,-1313,534
0,299,288,277,-1708,-2560,15092,-1675,432,-434
0,300,288,277,-1624,-4360,13888,427,1103,-635
0,300,289,277,-1328,-4024,14400,7,-34,-631
0,300,289,277,-1468,-3808,14240,421,182,-119
0,299,288,278,-1148,-4236,13988,-102,106,-693
0,299,289,278,-1204,-4536,14192,470,818,-111
0,299,288,277,-1152,-4076,14540,336,-404,-209
0,300,290,277,-1144,-4104,14484,253,360,-551
0,300,289,277,-1232,-4732,14292,159,661,-3
0,299,289,277,-1504,-4304,14120,952,775,100
0,300,289,277,-1188,-4804,14320,2710,146,693
0,300,288,276,-1608,-3288,13736,1220,598,360
0,299,288,277,-1416,-3756,13932,510,-784,-75
0,300,288,277,-1496,-3316,14408,367,1318,-644
0,299,288,277,-1396,-3804,14616,174,-126,-233
0,299,289,277,-1408,-3624,14472,561,157,-503
0,299,289,276,-856,-3780,14536,91,662,-482
0,299,288,277,-1040,-3660,14648,-449,-10,-613
0,299,289,277,-1216,-3608,14004,289,504,-165
0,299,289,277,-1116,-3980,14284,549,482,50
0,299,288,277,-1324,-3532,14164,-113,101,-349
0,300,289,277,-1312,-4028,14612,-243,357,-622
0,299,289,276,-1160,-3860,14680,-529,338,-418
0,300,289,277,-1452,-4000,13816,-1572,-77,-759
0,299,288,276,-1504,-3128,14308,632,424,-173
0,300,288,276,-1468,-3904,14560,-269,53,-354
0,302,288,277,-1284,-3776,14560,-509,-29,-822
0,300,289,277,-1332,-3860,14188,33,36,-232
0,300,289,276,-1420,-3668,14356,-388,107,-445
0,300,289,277,-1348,-3752,14436,218,-22,-199
0,299,288,277,-1424,-3812,14272,422,407,-247
0,299,288,277,-1236,-3740,14080,-49,-345,-482
0,300,289,277,-1320,-3764,14420,-391,351,-431
0,299,288,277,-1340,-3388,14672,-391,470,-549
0,300,289,277,-1712,-3336,14060,-121,-21,-671
0,300,288,277,-1432,-3688,14488,245,16,-460
0,300,288,277,-1400,-3876,14584,4,148,-420
